_RAJ2000	_DEJ2000	UCAC4	RAJ2000	DEJ2000	ePos	f.mag	of	db	pmRA	pmDE	Jmag	Kmag	Bmag	Vmag	rmag	imag	H	A	b	h	Z	B	L	N	S
092.052609800	+24.326631700	572-024399	092.0526098	+24.3266317	125	15.462	0	0	10.2	-4.7	14.230	13.618					0	0	0	0	0	0	0	1	0
092.053517100	+24.339991200	572-024403	092.0535171	+24.3399912	108	14.831	0	0	-3.5	6.1	14.724	14.278					0	0	0	0	0	0	0	3	0
092.054957400	+24.367663900	572-024404	092.0549574	+24.3676639	173	15.739	0	0	3.8	-8.2	14.722	14.474					0	0	0	0	0	0	0	1	0
092.059777400	+24.388864800	572-024407	092.0597774	+24.3888648	276	16.153	0	0	-8.3	-6.7	15.181	14.494					0	0	0	0	0	0	0	1	0
092.060109200	+24.312169800	572-024409	092.0601092	+24.3121698	103	15.014	0	0	9.9	4.2	14.194	13.702	16.242	15.522	15.315		0	0	0	0	0	0	0	1	0
092.062858000	+24.336968400	572-024413	092.0628580	+24.3369684	47	14.696	0	0	-5.4	1.6	13.779	13.474	15.331	14.838	14.677	14.655	0	0	0	0	0	0	0	1	0
092.066304200	+24.397604800	572-024418	092.0663042	+24.3976048	77	14.490	8	0	-107.5	-51.0							0	0	0	0	0	0	0	1	0
092.067723300	+24.308530300	572-024419	092.0677233	+24.3085303	35	12.948	0	0	0.5	-2.1	11.042	10.300	14.560	13.330	12.900	12.977	0	0	0	0	1	0	0	3	0
092.067937100	+24.377233900	572-024420	092.0679371	+24.3772339	180	16.159	0	0	-1.4	-2.1	14.620	13.969					0	0	0	0	0	0	0	1	0
092.070754200	+24.307628700	572-024421	092.0707542	+24.3076287	316	15.760	0	0	-11.5	-6.6	14.815	14.317					0	0	0	0	0	0	0	3	0
092.072539800	+24.329074500	572-024422	092.0725398	+24.3290745	36	11.350	0	0	2.8	-3.3	10.870	10.746	11.497	11.289	11.338	11.949	3	1	0	1	1	0	0	1	0
092.072879800	+24.319415000	572-024423	092.0728798	+24.3194150	75	14.620	0	0	-1.4	-2.9	13.859	13.664					0	0	0	0	1	0	0	1	0
092.076260000	+24.321400600	572-024428	092.0762600	+24.3214006	278	15.851	5	0			14.547	14.033					0	0	0	0	0	0	0	0	0
092.076662700	+24.346854500	572-024429	092.0766627	+24.3468545	125	14.975	0	0	7.8	5.4	14.948	14.429	17.561	16.492	16.338		0	0	0	0	0	0	0	1	0
092.078442100	+24.321926400	572-024430	092.0784421	+24.3219264	88	13.510	0	0	6.3	-5.4	10.918	9.801					0	0	0	0	1	0	0	7	0
092.079848300	+24.367485300	572-024433	092.0798483	+24.3674853	39	12.721	0	0	0.1	6.1	9.865	8.729					0	0	0	0	1	0	0	1	0
092.080428300	+24.325016200	572-024434	092.0804283	+24.3250162	57	14.569	0	0	4.5	-1.9	12.662	11.888					0	0	0	0	0	0	0	1	0
092.081464800	+24.294382000	572-024435	092.0814648	+24.2943820	140	15.719	0	0	1.5	-2.7	14.836	14.416					0	0	0	0	0	0	0	1	0
092.083647100	+24.386135300	572-024437	092.0836471	+24.3861353	136	15.320	0	0	-5.6	1.0	14.501	14.337	15.982	15.506	15.483		0	0	0	0	0	0	0	1	0
092.084048900	+24.364292500	572-024438	092.0840489	+24.3642925	49	14.610	0	35	-26.7	-7.2	13.330	12.954					0	0	0	0	0	0	0	8	0
092.084668000	+24.359597000	572-024439	092.0846680	+24.3595970	170	16.031	0	0	0.2	-3.6	14.967	14.461					0	0	0	0	0	0	0	1	0
092.085223900	+24.364822300	572-024440	092.0852239	+24.3648223	115	15.394	5	35			14.085	13.581					0	0	0	0	0	0	0	0	0
092.087794500	+24.358098900	572-024441	092.0877945	+24.3580989	77	15.583	0	0	0.3	-6.9	13.972	13.477	16.382	15.418	15.316		0	0	0	0	0	0	0	1	0
092.089238900	+24.363994500	572-024442	092.0892389	+24.3639945	70	13.126	0	0	4.2	1.7	12.053	11.652	13.998	13.341	13.172	13.545	0	0	0	0	1	0	0	1	0
